a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.742424242,0.372474747,0.768939394,0.520833333,0.910353535,0.162878788,0.523358586,0.683712121,0.342171717,0.667929293,0.244949495,0.726010101
0.30239899,0.619318182,1.094065657,0.688762626,0.567550505,0.486742424,0.639520202,1.205808081,0.70959596,1.195707071,1.14520202,0.294191919
0.295454545,1.335858586,0.386994949,0.183712121,0.212752525,1.191287879,1.53219697,1.768939394,1.506944444,1.835858586,0.648989899,0.587752525
0.488005051,0.389520202,0.174873737,1.756313131,1.962752525,1.248106061,0.535353535,0.958964646,1.133207071,1.558712121,1.050505051,1.053661616
0.682449495,0.371212121,1.527777778,1.221590909,0.363636364,0.176767677,1.951388889,1.254419192,0.774621212,0.867424242,1.142045455,0.445075758
0.245580808,0.455808081,1.547348485,1.269570707,0.58459596,1.44760101,1.404671717,0.977272727,0.245580808,0.78030303,0.420454545,0.506944444
0.488636364,1.598484848,0.191287879,1.503787879,1.52020202,1.54040404,1.518939394,1.431818182,1.267676768,1.349116162,1.188131313,0.952020202
0.180555556,0.895833333,0.613636364,0.921085859,0.460858586,0.921717172,1.053030303,0.184974747,0.998737374,0.662878788,0.622474747,1
