a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.706371191,0.545706371,0.578947368,0.542936288,1.068328717,0.25854109,0.967682364,0.566943675,0.578024007,0.587257618,0.698984303,0.862419206
0.69621422,0.905817175,1.077562327,0.971375808,1.144044321,0.624192059,0.403508772,1.138504155,0.635272392,1.108956602,0.784856879,0.439519852
0.58910434,0.995383195,1.06278855,0.261311173,0.329639889,0.959372114,1.3388735,1.471837488,1.465373961,1.550323176,0.559556787,0.351800554
0.404432133,1.341643583,0.244690674,1.564173592,1.620498615,0.679593721,1.117266851,0.44598338,0.570637119,1.224376731,0.820867959,0.909510619
0.693444137,0.599261311,1.631578947,0.822714681,1.02677747,0.249307479,1.402585411,0.656509695,0.684210526,0.860572484,0.572483841,0.420129271
0.68790397,0.3388735,1.351800554,0.760849492,0.626962142,1.021237304,1.173591874,0.51800554,0.284395199,0.674976916,0.529085873,0.396121884
0.555863343,1.144967682,0.291782087,1.14312096,1.176361958,1.103416436,1.128347184,0.936288089,1.040627886,1.029547553,1.012003693,0.829178209
0.760849492,0.988919668,0.808864266,0.929824561,0.487534626,0.530932595,0.581717452,0.25023084,1.023084026,0.60757156,0.497691597,1
