a,b,c,d,e,f,g,h,i,j,k,l
0.900886382,0.446414182,0.691377921,0.406124093,0.797743755,0.274778405,0.916196616,0.436744561,0.372280419,0.150684932,0.145044319,0.161160355
0.396454472,0.589041096,0.862207897,0.497985496,0.657534247,0.599516519,0.632554392,0.174858985,0.174053183,0.167606769,0.162771958,0.156325544
0.59548751,0.902497985,0.743755036,0.216760677,0.409347301,0.632554392,1.356970185,1.613215149,0.704270749,1.3634166,0.212731668,0.229653505
0.396454472,0.656728445,0.63174859,2.43190975,2.333601934,0.871071716,0.807413376,0.314262691,0.843674456,1.262691378,0.759871072,0.976631749
0.436744561,0.44560838,2.058823529,0.740531829,0.680096696,0.21353747,0.917002417,0.746978243,0.489121676,0.583400483,0.597099114,0.219178082
0.585012087,0.44077357,1.296535052,0.672038678,1.045930701,1.045124899,1.021756648,0.617244158,0.421434327,0.499597099,0.698630137,0.323126511
0.334407736,1.637389202,0.21353747,1.9089444,2.090249799,1.735697019,1.912167607,1.610797744,1.726833199,1.614826753,1.442385173,1.187751813
0.903303787,1.228847703,0.464141821,1.389202256,0.226430298,1.112006446,1.120870266,0.905721193,1.438356164,0.470588235,0.477034649,1
