a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.550230415,0.555760369,0.700460829,0.362211982,0.611981567,0.221198157,0.265437788,0.305990783,0.350230415,0.359447005,0.1640553,0.237788018
0.277419355,0.501382488,0.856221198,0.767741935,0.2359447,0.743778802,0.528110599,0.960368664,0.357603687,0.733640553,0.389861751,0.247004608
0.259907834,0.87281106,0.361290323,0.223041475,0.224884793,1.024884793,1.188018433,1.165898618,1.147465438,1.201843318,0.246082949,0.305990783
0.35483871,0.311520737,0.20921659,1.4,1.561290323,0.459907834,0.976958525,0.775115207,0.483870968,1.096774194,0.643317972,0.835023041
0.410138249,0.228571429,0.347465438,0.706912442,0.602764977,0.211059908,1.007373272,0.605529954,0.697695853,0.730875576,0.447926267,0.47281106
0.294930876,0.259907834,1.282949309,0.622119816,1.318894009,0.833179724,1.115207373,0.446082949,0.247926267,0.751152074,0.525345622,0.377880184
0.412903226,1.162211982,0.22764977,1.228571429,1.330875576,1.305990783,1.28202765,1.216589862,1.142857143,1.26359447,1.117050691,0.846082949
0.253456221,0.923502304,0.534562212,0.937327189,0.611059908,0.690322581,0.229493088,0.251612903,0.797235023,0.539170507,0.510599078,1
