a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.949458484,0.422382671,0.69765343,0.430505415,0.700361011,0.241877256,1.222021661,0.608303249,0.707581227,0.544223827,0.423285199,0.596570397
0.740072202,0.979241877,1.096570397,0.875451264,0.614620939,0.589350181,0.424187726,1.35198556,0.873646209,1.056859206,1.093862816,0.255415162
0.526173285,1.86101083,0.813176895,0.270758123,0.421480144,2.065884477,1.914259928,1.937725632,1.613718412,1.636281588,1.147111913,0.511732852
0.657039711,0.436823105,0.241877256,2.314079422,2.250902527,1.018050542,1.359205776,0.692238267,0.86732852,2.079422383,1.517148014,1.444043321
0.762635379,0.701263538,2.012635379,1.075812274,1.011732852,0.24368231,1.687725632,0.889891697,0.745487365,0.917870036,0.896209386,0.518953069
0.564079422,0.350180505,1.512635379,1.123646209,0.971119134,1.39801444,1.666064982,0.723826715,0.359205776,0.758122744,0.679602888,0.457581227
0.627256318,1.657039711,0.283393502,1.681407942,1.870036101,1.564079422,1.584837545,1.4566787,1.531588448,1.455776173,1.334837545,1.189530686
0.239169675,1.020758123,0.670577617,1.268050542,0.390794224,0.711191336,0.416064982,0.23465704,1.30234657,0.541516245,0.607400722,1
