a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.603000577,0.218695903,0.795152914,0.239469129,0.68609348,0.147143681,0.899596076,0.38661281,0.291979227,0.289094057,0.321407963,0.751298327
0.225043278,0.542412002,0.71609925,0.687247548,0.623773803,0.571263705,0.672821696,0.79169071,0.222735141,0.394114253,0.642238892,0.10271206
0.330640508,1.028851702,0.45643393,0.620311598,0.15695326,0.991344489,1.231390652,1.080207732,0.971148298,0.833814195,1.070975188,0.169070975
0.430467398,0.319099827,0.150028852,0.761107905,1.042700519,0.336410848,0.191575303,0.557991922,0.187536065,0.984420081,0.73744951,1.249278707
0.547028275,0.171379111,1.099249856,0.538949798,0.162723601,0.15983843,1.030582804,0.631275245,0.437391806,0.420657819,0.270051933,0.236583958
0.401038661,0.257357184,1.219272937,0.757645701,0.5406809,1.311598384,1.160992499,0.30525101,0.165608771,0.478938257,0.596076168,0.289671091
0.556260819,1.174264282,0.172533179,1.050201962,1.114829775,1.376226197,1.285054818,1.080784766,1.141950375,1.300057703,1.043277553,1.050778996
0.157530294,1.076168494,0.579342181,0.947489902,1.252740912,0.160992499,0.153491056,0.930178881,0.777264859,0.563762262,0.548182343,1
