a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.609963548,0.492102066,0.645200486,0.617253949,0.533414338,0.315917375,0.669501823,0.479951397,0.539489672,0.506682868,0.482381531,0.573511543
0.397326853,0.857837181,0.771567436,0.876063183,0.585662211,0.863912515,0.804374241,0.872417983,0.599027947,0.721749696,0.573511543,0.662211422
0.396111786,1.210206561,0.679222357,0.328068044,0.399756987,1.182260024,1.590522479,1.22235723,1.340218712,1.024301337,0.377885784,0.588092345
0.716889429,1.139732685,0.32199271,1.590522479,1.874848117,1.59781288,1.438639125,1.561360875,1.408262454,1.65127582,0.948967193,1.002430134
0.692588092,0.921020656,1.704738761,1.020656136,0.565006075,0.315917375,1.862697448,1.080194411,1.523693803,1.680437424,0.515188335,0.596597813
0.442284326,0.45200486,1.165249089,1.020656136,1.009720535,1.347509113,1.246658566,1.238153098,0.330498177,1.240583232,0.695018226,0.413122722
0.612393682,1.454434994,0.379100851,1.387606318,1.388821385,1.37545565,1.403402187,1.332928311,1.162818955,1.397326853,1.161603888,0.928311057
0.397326853,1.19927096,0.616038882,1.027946537,0.575941677,0.869987849,0.630619684,0.382746051,0.89671932,0.577156744,0.59781288,1
