a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0.442906574,0.17517301,0.780276817,0.154844291,0.551903114,0.145761246,0.732698962,0.296712803,0.253892734,0.269463668,0.246107266,0.891435986
0.241349481,0.389705882,0.628892734,0.727508651,0.834775087,0.635813149,0.643598616,0.941176471,0.341262976,0.486591696,0.764273356,0.298875433
0.189013841,0.444636678,0.334342561,0.115484429,0.150519031,0.673010381,1.085207612,0.920415225,0.776816609,0.523356401,1.064878893,0.128892734
0.479238754,0.294982699,0.112889273,0.456314879,1.111591696,0.158304498,0.190311419,0.281574394,0.118944637,0.931228374,0.792387543,0.951989619
0.410467128,0.232698962,0.749567474,0.491782007,0.146193772,0.116782007,0.565743945,0.491782007,0.337370242,0.330449827,0.122404844,0.132352941
0.247404844,0.181228374,0.326124567,0.552768166,0.299740484,0.812716263,0.810121107,0.121539792,0.176470588,0.230103806,0.244377163,0.17949827
0.42949827,0.793252595,0.150951557,0.901816609,1.049307958,0.94766436,0.965397924,0.879757785,1.014273356,0.926470588,0.908737024,0.876297578
0.190311419,0.837802768,0.332179931,0.880190311,0.144463668,0.14100346,0.121539792,0.837802768,0.661764706,0.470155709,0.416522491,1
