a,b,c,d,e,f,g,h,i,j,k,l
0.613368283,0.893840105,0.94757536,0.892529489,1.018348624,0.429882045,1.098296199,0.876802097,0.836173001,0.99344692,0.990825688,0.916120577
0.899082569,0.858453473,1.083879423,1.114023591,0.764089122,0.963302752,1.090432503,0.964613368,1.153342071,1.19266055,1.22542595,0.897771953
0.938401048,0.965923984,0.916120577,0.736566186,0.630406291,1.140235911,1.110091743,1.217562254,1.267365662,1.116644823,1.131061599,0.880733945
0.921363041,1.017038008,0.988204456,0.585845347,1.005242464,1.002621232,1.056356488,0.851900393,1.188728702,1.250327654,1.112712975,1.167758847
1.089121887,1.020969856,1.152031455,1.077326343,1.530799476,0.378768021,0.94102228,1.234600262,1.117955439,0.98034076,0.448230668,0.678899083
1.040629096,0.80078637,1.170380079,1.216251638,0.964613368,1.195281782,1.207077326,0.501965924,0.849279161,1.178243775,1.022280472,0.630406291
0.433813893,1.25163827,1.220183486,1.03931848,1.237221494,1.166448231,1.066841415,1.179554391,1.170380079,1.214941022,1.230668414,1.298820446
1.030144168,1.027522936,0.98689384,0.990825688,1.170380079,1.174311927,1.024901704,1.235910878,1.342070773,1.002621232,0.98689384,1
