a,b,c,d,e,f,g,h,i,j,k,l
0.31138546,0.762688615,0.90260631,1.04526749,0.685871056,0.603566529,0.9739369,0.796982167,0.652949246,0.725651578,0.735253772,1.181069959
0.754458162,0.731138546,0.632373114,0.737997257,0.866941015,0.59122085,0.663923182,0.851851852,0.735253772,0.935528121,1.159122085,0.936899863
0.799725652,0.997256516,0.840877915,0.687242798,0.930041152,0.910836763,0.905349794,1.024691358,0.865569273,0.644718793,1.063100137,0.680384088
1.112482853,1.14266118,0.466392318,0.673525377,1.004115226,0.858710562,0.82441701,0.695473251,0.776406036,1.049382716,1.037037037,0.965706447
0.931412894,1.001371742,0.995884774,0.772290809,0.854595336,0.888888889,0.65569273,0.930041152,0.853223594,0.796982167,0.407407407,1.056241427
1.038408779,0.788751715,0.943758573,1.094650206,0.684499314,1.056241427,0.865569273,0.417009602,0.835390947,1.01920439,1.155006859,0.816186557
0.417009602,1.167352538,1.082304527,1.108367627,0.935528121,0.978052126,0.916323731,0.347050754,0.34430727,0.345679012,0.334705075,0.31824417
1.091906722,1.076817558,0.787379973,0.979423868,0.9478738,0.997256516,0.757201646,0.961591221,1.164609053,0.737997257,0.676268861,1
